Major,Unemployment Rate,Underemployment Rate,Median Wage Early Career,Median Wage Mid-Career,Share with Graduate Degree
Agriculture,4.5,56.6,44000,66000,21.6
Animal and Plant Sciences,4.3,58.1,40000,64000,35
Environmental Studies,5.5,49.9,40000,70000,31.5
Architecture,5.2,22.2,50000,81000,41
Ethnic Studies,8.5,48,40000,70000,49.5
Communications,5.7,51,43100,74000,23.3
Journalism,3.9,44.2,40000,68000,26.2
Mass Media,6.9,49.9,41500,69000,18.6
Advertising and Public Relations,6.2,48.1,45000,78000,20.4
Information Systems & Management,6.1,28.9,52000,81000,25
Computer Science,5.3,16.2,70000,100000,31.8
General Education,2.1,25.9,40000,50000,49.1
Early Childhood Education,1.4,22,36000,43700,38.8
Elementary Education,1.7,15.1,39000,45400,47.4
Secondary Education,3.6,24.9,40000,52000,49.6
Special Education,3.5,15.8,40000,52000,61.8
Miscellaneous Education,3.2,25.3,41000,53000,57.4
General Engineering,2.1,27.8,62000,90000,37.3
Aerospace Engineering,4.5,23.6,70000,110000,51.8
Chemical Engineering,6.7,20.5,70000,111000,49.8
Civil Engineering,3.6,15.6,63000,100000,37
Computer Engineering,4.1,14.2,74000,110000,41.4
Electrical Engineering,3.5,18.2,70000,107000,47.4
Industrial Engineering,2.9,24.9,69000,93000,39.4
Mechanical Engineering,4.4,19.4,68000,104000,40.1
Miscellaneous Engineering,4.4,27.7,65000,100000,45.5
